DATAFLOW,LAST UPDATE,freq,isco08,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,AT,2014,20.4,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,AT,2019,22.3,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,BE,2014,17.3,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,BE,2019,32.1,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,BG,2014,5.4,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,BG,2019,5.7,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,CY,2014,8.1,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,CY,2019,10,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,CZ,2014,23.8,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,CZ,2019,24.8,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,DE,2014,25.9,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,DE,2019,28.4,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,DK,2014,28.3,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,DK,2019,29.2,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,EE,2014,10.3,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,EE,2019,13.3,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,EL,2014,8.3,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,EL,2019,10.3,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,ES,2014,17.6,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,ES,2019,18.4,,
ESTAT:HLTH_EHIS_AM6U(1.0),17/10/2022 23:00,A,OC2264,DEG1,F,TOTAL,PC,EU27_2020,2014,18.2,,
